sales
1,947,000,000
1,283,000,000
777,000,000
725,000,000
707,000,000
635,000,000
558,000,000
523,240,000
469,200,000
451,000,000
421,100,000
331,000,000
283,243,900
266,000,000
206,200,000
200,000,000
155,400,000
130,000,000
100,000,000
90,600,000
82,900,000
79,300,000
74,200,000
74,200,000
69,000,000
64,800,000
60,000,000
60,000,000
50,000,000
48,240,000
47,520,000
43,800,000
43,000,000
42,000,000
40,240,000
39,098,000
37,320,000
33,220,000
33,130,000
32,400,000
31,300,000
31,000,000
30,800,000
30,800,000
30,300,000
30,300,000
30,000,000
30,000,000
30,000,000
30,000,000
29,490,000
28,300,000
28,020,000
28,000,000
27,500,000
27,100,000
26,740,000
26,500,000
26,200,000
25,000,000
24,950,000
24,730,000
24,200,000
24,000,000
24,000,000
23,982,960
23,960,000
23,600,000
22,700,000
22,540,000
22,000,000
20,972,500
20,000,000
20,000,000
20,000,000
20,000,000
19,100,000
19,080,000
19,010,000
19,000,000
19,000,000
18,840,000
18,710,000
18,370,500
18,060,000
17,830,000
17,400,000
17,280,000
16,200,000
13,340,000
12,800,000
12,000,000
11,910,000
11,180,000
11,050,000
11,000,000
10,940,000
10,550,000
10,000,000
9,870,000
9,310,000
8,850,000
8,760,000
8,450,000
8,100,000
7,460,000
7,440,000
7,410,000
7,000,000
6,960,000
6,280,000
6,000,000
6,000,000
5,910,000
5,840,000
5,800,000
5,690,000
5,570,000
5,480,000
5,430,000
5,340,000
5,190,000
5,070,000
4,850,000
4,130,000
4,120,000
4,010,000
4,000,000
3,050,000
3,000,000
3,000,000
3,000,000
3,000,000
2,840,000
2,830,000
2,750,000
2,730,000
2,730,000
2,700,000
2,650,000
2,500,000
2,480,000
2,320,000
2,310,000
2,280,000
2,280,000
2,280,000
2,270,000
2,220,000
2,150,000
2,140,000
2,080,000
2,010,000
2,000,000
2,000,000
2,000,000
2,000,000
1,930,000
1,930,000
1,860,000
1,860,000
1,780,000
1,770,000
1,720,000
1,600,000
1,540,000
1,500,000
1,500,000
1,470,000
1,420,000
1,410,000
1,390,000
1,370,000
1,370,000
1,360,000
1,260,000
1,240,000
1,220,000
1,200,000
1,180,000
1,140,000
1,110,000
1,100,000
1,100,000
1,080,000
1,000,000
1,000,000
1,000,000
1,000,000
1,000,000
1,000,000
1,000,000
1,000,000
0,930,000
0,640,000
0,560,000
0,430,000
0,260,000
0,150,000
